"Season","events","person_time","rate_per_1000","lower_95","upper_95","month_start","month_label"
"Overall",4071,632142.01621096,6.44000856706448,6.24368484670056,6.64093509961573,NA,NA
"Winter",918,143732.093491201,6.38688255143379,5.98035368702815,6.81377218548959,NA,NA
"Spring",851,163771.538668329,5.1962630803845,4.85296218721912,5.55744090644042,NA,NA
"Summer",1525,184144.881329623,8.28152261951947,7.87104404068725,8.70785452348396,NA,NA
"Autumn",777,140493.502721808,5.53050486283727,5.14842161381013,5.93343804359732,NA,NA
"Overall",4071,632142.01621096,6.44000856706448,6.24368484670056,6.64093509961573,NA,NA
NA,381,48222.6490662571,7.90085172377222,7.12733155847641,8.73542480114699,1,"Jan"
NA,255,47597.4599358571,5.35742874396325,4.71998991248127,6.05695286054793,2,"Feb"
NA,286,53677.1912085957,5.32814764633588,4.72847165453441,5.982814305613,3,"Mar"
NA,293,57874.4556882616,5.06268260350011,4.49952879967442,5.67682713689789,4,"Apr"
NA,272,52219.8917714716,5.20874308185749,4.60806713663969,5.86597199955794,5,"May"
NA,440,84477.9078215078,5.20846232283202,4.73310302298599,5.7186318836493,6,"Jun"
NA,606,51514.1286811693,11.7637629814269,10.8456742402367,12.7388046333177,7,"Jul"
NA,479,48152.8448269457,9.94749119644864,9.07649298415153,10.8795197172911,8,"Aug"
NA,214,44289.259172372,4.83187129337884,4.20613892511044,5.52445077797779,9,"Sep"
NA,260,48118.9086009276,5.40328132037035,4.76640231621297,6.10156072589671,10,"Oct"
NA,303,48085.3349485083,6.30129748133115,5.61168832404541,7.05225850276718,11,"Nov"
NA,282,47911.9844890865,5.88579252158163,5.21881434232716,6.61438673871594,12,"Dec"
