"month_start","month_label","events","person_time","rate_per_1000","lower_95","upper_95"
1,"Jan",381,48222.6490662571,7.90085172377222,7.12733155847641,8.73542480114699
2,"Feb",255,47597.4599358571,5.35742874396325,4.71998991248127,6.05695286054793
3,"Mar",286,53677.1912085957,5.32814764633588,4.72847165453441,5.982814305613
4,"Apr",293,57874.4556882616,5.06268260350011,4.49952879967442,5.67682713689789
5,"May",272,52219.8917714716,5.20874308185749,4.60806713663969,5.86597199955794
6,"Jun",440,84477.9078215078,5.20846232283202,4.73310302298599,5.7186318836493
7,"Jul",606,51514.1286811693,11.7637629814269,10.8456742402367,12.7388046333177
8,"Aug",479,48152.8448269457,9.94749119644864,9.07649298415153,10.8795197172911
9,"Sep",214,44289.259172372,4.83187129337884,4.20613892511044,5.52445077797779
10,"Oct",260,48118.9086009276,5.40328132037035,4.76640231621297,6.10156072589671
11,"Nov",303,48085.3349485083,6.30129748133115,5.61168832404541,7.05225850276718
12,"Dec",282,47911.9844890865,5.88579252158163,5.21881434232716,6.61438673871594
