"Variable","Winter","Spring","Summer","Autumn"
"Age","69.1 ± 12.0 (n=32418)","69.4 ± 11.9 (n=34477)","68.0 ± 12.0 (n=40387)","68.9 ± 11.9 (n=32633)"
"BMI","27.0 ± 4.5 (n=28319)","27.1 ± 4.5 (n=29885)","27.6 ± 5.0 (n=34835)","27.1 ± 4.6 (n=28442)"
"BUN","NaN ± NA (n=0)","NaN ± NA (n=0)","9.1 ± 5.2 (n=2554)","8.5 ± 4.6 (n=346)"
"CRP","NaN ± NA (n=0)","NaN ± NA (n=0)","NaN ± NA (n=0)","NaN ± NA (n=0)"
"Cholesterol","193.3 ± 49.5 (n=23296)","190.6 ± 49.4 (n=25516)","183.6 ± 49.1 (n=28243)","192.0 ± 48.8 (n=23533)"
"DBP","NaN ± NA (n=0)","NaN ± NA (n=0)","NaN ± NA (n=0)","NaN ± NA (n=0)"
"HDL","47.2 ± 15.5 (n=22808)","46.9 ± 15.3 (n=24924)","46.3 ± 15.3 (n=27668)","47.0 ± 15.3 (n=23016)"
"Haemoglobin","13.9 ± 1.7 (n=28756)","13.9 ± 1.7 (n=30895)","13.8 ± 1.7 (n=32592)","13.8 ± 1.7 (n=28685)"
"HbA1c","6.3 ± 1.3 (n=4194)","6.3 ± 1.3 (n=5145)","6.1 ± 1.2 (n=9086)","6.2 ± 1.3 (n=4257)"
"LDL","119.3 ± 43.3 (n=22126)","117.3 ± 43.1 (n=24258)","110.4 ± 42.4 (n=27012)","118.1 ± 43.0 (n=22331)"
"LVDD","61.2 ± 7.8 (n=310)","60.7 ± 3.3 (n=34)","60.8 ± 2.7 (n=31)","60.8 ± 3.0 (n=36)"
"LVEF_std","49.4 ± 12.7 (n=32397)","50.0 ± 12.5 (n=34462)","47.8 ± 13.7 (n=40368)","49.7 ± 12.7 (n=32607)"
"Potassium","4.2 ± 0.5 (n=113)","4.1 ± 0.3 (n=997)","4.3 ± 0.4 (n=5912)","4.3 ± 0.5 (n=462)"
"SBP","NaN ± NA (n=0)","NaN ± NA (n=0)","NaN ± NA (n=0)","NaN ± NA (n=0)"
"Sodium","NaN ± NA (n=0)","140.8 ± 2.4 (n=871)","139.1 ± 3.0 (n=5834)","139.0 ± 3.0 (n=345)"
"Triglycerides","141.1 ± 93.9 (n=21927)","140.3 ± 90.8 (n=24023)","143.6 ± 91.5 (n=26704)","141.5 ± 91.4 (n=21923)"
"Diabetes=No","25039 (78.3%)","26703 (78.5%)","30396 (76.1%)","25295 (78.6%)"
"Diabetes=Yes","6943 (21.7%)","7304 (21.5%)","9562 (23.9%)","6883 (21.4%)"
"FH_CAD=No","127 (67.2%)","139 (70.2%)","2891 (45.1%)","121 (63%)"
"FH_CAD=Yes","62 (32.8%)","59 (29.8%)","3518 (54.9%)","71 (37%)"
"FH_SCD=No","157 (97.5%)","122 (99.2%)","4975 (75.5%)","133 (97.1%)"
"FH_SCD=Yes","4 (2.5%)","1 (0.8%)","1611 (24.5%)","4 (2.9%)"
"HF=No","27318 (91.8%)","28721 (92.9%)","27127 (92.8%)","27491 (92.8%)"
"HF=Yes","2453 (8.2%)","2181 (7.1%)","2108 (7.2%)","2124 (7.2%)"
"Hypertension=No","15540 (49.7%)","16571 (51.1%)","18259 (46.5%)","15729 (50%)"
"Hypertension=Yes","15751 (50.3%)","15875 (48.9%)","21048 (53.5%)","15759 (50%)"
"MI_history=No","24574 (80.7%)","25856 (80.7%)","24732 (81.4%)","24954 (81.2%)"
"MI_history=Yes","5891 (19.3%)","6176 (19.3%)","5636 (18.6%)","5769 (18.8%)"
"MI_type=NSTEMI","20660 (69.5%)","21975 (70%)","20863 (70.4%)","20954 (69.8%)"
"MI_type=STEMI","9084 (30.5%)","9397 (30%)","8764 (29.6%)","9061 (30.2%)"
"Sex=Female","10313 (31.8%)","11065 (32.1%)","12042 (29.8%)","10373 (31.8%)"
"Sex=Male","22105 (68.2%)","23413 (67.9%)","28345 (70.2%)","22260 (68.2%)"
"Smoking=No","12292 (41.7%)","13245 (41.8%)","14504 (38.4%)","12352 (41.2%)"
"Smoking=Yes","17160 (58.3%)","18470 (58.2%)","23239 (61.6%)","17628 (58.8%)"
"Stroke_TIA=No","28370 (92.6%)","29467 (92.9%)","33869 (92.3%)","28170 (92.7%)"
"Stroke_TIA=Yes","2257 (7.4%)","2253 (7.1%)","2827 (7.7%)","2223 (7.3%)"
"Alcohol=No","","555 (63.8%)","2186 (36.6%)",""
"Alcohol=Yes","","315 (36.2%)","3791 (63.4%)",""
