interval,season,cal_period,person_time,rate
0–12,Winter,Middle,1,9.437265005158343e-4
12–24,Winter,Middle,1,5.177445079575878e-4
24–60,Winter,Middle,1,3.6231086075757743e-4
>60,Winter,Middle,1,2.603342780055745e-4
0–12,Spring,Middle,1,7.78087980872591e-4
12–24,Spring,Middle,1,4.2687238154740507e-4
24–60,Spring,Middle,1,2.987197307069201e-4
>60,Spring,Middle,1,2.1464160709120904e-4
0–12,Summer,Middle,1,0.0012301425426809174
12–24,Summer,Middle,1,6.748772500612229e-4
24–60,Summer,Middle,1,4.7227030633305826e-4
>60,Summer,Middle,1,3.393443656798156e-4
0–12,Autumn,Middle,1,7.977033827866126e-4
12–24,Autumn,Middle,1,4.3763372671129985e-4
24–60,Autumn,Middle,1,3.062503798385175e-4
>60,Autumn,Middle,1,2.200526679147472e-4
