"imp","AIC_K3","AIC_K4","AIC_K5"
1,60728.5926758056,60727.418451268,60731.8573014419
2,60747.0139685359,60745.6280413391,60750.4637396442
3,60715.7253744253,60713.9234788819,60719.3016789314
4,60734.3570940438,60733.190070467,60737.5320303162
5,60692.1668239465,60690.4725987976,60695.4936439001
6,60713.8900327173,60712.4151139483,60717.1408294093
7,60759.8915282074,60758.628302825,60763.1813868408
8,60713.4720628524,60712.3882508113,60716.6871318959
9,60712.223302022,60710.8549094467,60715.5698971391
10,60733.4714661599,60732.0753631159,60736.7480086815
11,60726.0373900003,60724.8900296872,60729.4015933708
12,60726.3938620407,60725.234193812,60729.6446595792
13,60749.2952086197,60748.0843011629,60752.3781894474
14,60722.9863628353,60721.8051451721,60726.2464114626
15,60705.4646226023,60704.1711330927,60708.7842369651
16,60737.6585509089,60736.0679734674,60741.2391862548
17,60725.3309239205,60723.9794571504,60728.6409375968
18,60731.9081691009,60730.3349517631,60735.3602557894
19,60729.1285532893,60727.5233585756,60732.4813177142
20,60719.0168952563,60717.6911601183,60722.2045985711
