"term","estimate","std.error","statistic","p.value","conf.low","conf.high","b","df","dfcom","fmi","lambda","m","riv","ubar"
"ns(BMI, knots = K4, Boundary.knots = BND)1",-0.00354653177266377,0.107341078381586,-0.0330398373682834,0.973645143757929,-0.214020982322803,0.206927918777475,2.62732313888648e-05,2836.75805152158,2848,0.00309685675056541,0.00239425763876664,20,0.00240000386635673,0.0114945202151635
"ns(BMI, knots = K4, Boundary.knots = BND)2",-0.0830362727759501,0.0891826888041226,-0.931080615413242,0.351892077359971,-0.257906668557781,0.091834123005881,5.61751381000572e-05,2801.98422688343,2848,0.0081237731712672,0.00741604444606379,20,0.00747145307413828,0.00789456808732791
"ns(BMI, knots = K4, Boundary.knots = BND)3",0.370994999722699,0.0861259713254904,4.30758566798186,1.70731767429721e-05,0.202118149925337,0.539871849520061,5.53467801760409e-05,2798.17985268808,2848,0.00854292916318466,0.00783453804649045,20,0.00789640271398357,0.00735956881757435
"ns(BMI, knots = K4, Boundary.knots = BND)4",0.186531230892043,0.0868226123522107,2.14841762806385,0.031767789821499,0.0162870091722341,0.356775452611852,9.00621473353317e-05,2746.37155285274,2848,0.0132631756499441,0.012544862305449,20,0.0127042351865605,0.00744360076096015
"ns(BMI, knots = K4, Boundary.knots = BND)5",0.468198286457787,0.0801803492283491,5.83931463212245,5.85417170840997e-09,0.310978737830796,0.625417835084778,7.01389104205121e-05,2759.77375180515,2848,0.012171074642883,0.0114554572006995,20,0.0115882053915959,0.00635524254643848
"Age",-0.00696727884004092,0.00197744474931869,-3.5233747200479,0.000433499475150726,-0.0108448200541253,-0.00308973762595656,8.62732486313855e-08,2577.65664598732,2848,0.0239233458839571,0.0231663031379715,20,0.0237157084285593,3.8197008255451e-06
"SexMale",0.560557665305671,0.0495814473456867,11.3057947138454,5.61582279069331e-29,0.463335320513378,0.657780010097963,4.54021345288374e-05,2644.72478030762,2848,0.0201329212555715,0.0193922039398192,20,0.019775698314588,0.00241064767963783
"DiabetesYes",0.32332283693968,0.0427882751839519,7.55634190790997,5.64956553981578e-14,0.239421566799379,0.407224107079981,2.92277840776861e-05,2687.09884649186,2848,0.0174933827874289,0.0167623779596155,20,0.0170481454165991,0.00180014731993602
"HypertensionYes",0.192889891589056,0.0422620657466031,4.5641377954782,5.52386716814134e-06,0.109975246699849,0.275804536478263,0.000154772075624878,1216.16011786516,2848,0.0924784455797583,0.0909872341259818,20,0.100094561420705,0.00162357152176408
"SmokingYes",0.115692775354519,0.0433461771565188,2.66904218419916,0.00776409977303679,0.0306044599382803,0.200781090770758,0.000230371178280325,783.935947316511,2848,0.130955000132432,0.128740692066052,20,0.147763921594524,0.00163700133688997
"MI_historyYes",0.52702209935478,0.0471510996116518,11.1773024106641,4.84910025471743e-24,0.434186077342378,0.619858121367182,0.000528873431132112,266.521767729187,2848,0.255346895609574,0.249779848780366,20,0.332942068237301,0.0016679090918992
"LVEF",-0.0585269069436435,0.00139833057835044,-41.8548430891681,4.40260617217484e-297,-0.0612687832189514,-0.0557850306683355,1.99337129685074e-08,2768.52960015366,2848,0.0114181868292266,0.0107042881129133,20,0.0108201096843883,1.93439800773295e-06
"eGFR",-0.0092851691996694,0.00103341163331867,-8.98496678409867,1.21936320198553e-18,-0.011313015811349,-0.00725732258798984,1.07127692631692e-07,1023.9274015952,2848,0.107070550874976,0.10532812609887,20,0.117728218770974,9.55455526615084e-07
"Haemoglobin",-0.0733988159992077,0.0129028277314095,-5.68858373738742,3.09752222913575e-08,-0.0987926051640008,-0.0480050268344145,3.75174013250444e-05,293.506127590922,2848,0.241769601453923,0.236620435935715,20,0.309964331080507,0.000127089692075134
"ACE_inhibitor_ARBYes",-0.147981337700484,0.0502401861582941,-2.94547749552982,0.00325316810258956,-0.246496110170077,-0.0494665652308908,5.24368428161921e-05,2602.47933274813,2848,0.0225642683799232,0.0218133995565565,20,0.0222998347622711,0.00246901762026304
"Beta_blockersYes",-0.263522874091984,0.0574236809107731,-4.58909756240557,4.65953651563903e-06,-0.376122794011516,-0.150922954172452,6.13037772468657e-05,2642.55805600415,2848,0.0202618859977965,0.0195206591412295,20,0.0199093018361121,0.00323311016323308
"Lipid_loweringYes",-0.511697016459169,0.0552251694935409,-9.26564863723989,3.92031637320989e-20,-0.619986362980635,-0.403407669937703,6.03021238721776e-05,2621.19971541817,2848,0.0215072916586226,0.0207609772550416,20,0.021201133505531,0.00298650211552453
