"term","estimate","std.error","statistic","p.value","conf.low","conf.high","b","df","dfcom","fmi","lambda","m","riv","ubar"
"ns(BMI, knots = K4, Boundary.knots = BND)1",0.00036195203761238,0.110030691752462,0.00328955523088657,0.997375563364851,-0.215391335069187,0.216115239144412,3.20857850166914e-05,2689.53739639118,2702,0.00352347733724607,0.00278275057834702,20,0.00279051588804838,0.0120730630532579
"ns(BMI, knots = K4, Boundary.knots = BND)2",-0.115763295399877,0.0917219816282049,-1.26211071048512,0.207019747601172,-0.295617022583064,0.0640904317833105,6.22193280896496e-05,2656.44826578573,2702,0.00851166598415122,0.00776547020921846,20,0.00782624467912426,0.00834759161931063
"ns(BMI, knots = K4, Boundary.knots = BND)3",0.36639303636206,0.0878088749808125,4.17261964057873,3.10813139967743e-05,0.19421214120419,0.53857393151993,6.30626716460874e-05,2649.28768734726,2702,0.00933544788544615,0.00858785768469618,20,0.00866224783634427,0.00764418272016756
"ns(BMI, knots = K4, Boundary.knots = BND)4",0.191268731771501,0.0886309762579939,2.15803480731997,0.0310164508863222,0.0174742762246391,0.365063187318363,9.98450191694537e-05,2599.06301542051,2702,0.0141041638154572,0.013345800783225,20,0.0135263203600807,0.00775061268231715
"ns(BMI, knots = K4, Boundary.knots = BND)5",0.474087016602554,0.0819683834846857,5.78377901878629,8.17425767549863e-09,0.313357411223432,0.634816621981676,7.92507871819696e-05,2610.3670699293,2702,0.0131409357964867,0.0123851178377114,20,0.0125404325728621,0.00663560256455142
"Age",-0.00636190151197406,0.00206351987130194,-3.0830338008619,0.00207189451515206,-0.0104083295712583,-0.00231547345268985,9.63071675007089e-08,2444.61340640302,2702,0.0245459118788303,0.0237481945572232,20,0.0243258905385094,4.15699173338221e-06
"SexMale",0.557040331332867,0.0509973971353671,10.922916906019,3.59477110723446e-27,0.457039330764562,0.657041331901171,4.65659917989199e-05,2524.81273045211,2702,0.0195765087147557,0.0188001855301705,20,0.0191604046932365,0.00255184022319348
"DiabetesYes",0.328967317498833,0.0438429563199378,7.50331056825275,8.56641693920002e-14,0.242995558898676,0.414939076098991,3.38907071118829e-05,2529.12354304846,2702,0.0192879500819099,0.0185127214946635,20,0.0188619067206411,0.0018866195764045
"HypertensionYes",0.185407232169907,0.0434057034133266,4.271494702076,2.08944247450408e-05,0.100250819453237,0.270563644886577,0.000155974918809046,1244.8302841763,2702,0.0883896134209046,0.0869261550379166,20,0.0952016701798377,0.00172028142405618
"SmokingYes",0.11472983453987,0.0447705618290196,2.56261770799365,0.0106008358468836,0.0268261218536073,0.202633547226133,0.000266608525475992,686.29586594062,2702,0.142158276333617,0.139661995572514,20,0.162333867449518,0.00172446425473628
"MI_historyYes",0.527143085432105,0.0481528194503057,10.94729429034,1.75371356997979e-23,0.432359064297915,0.621927106566294,0.000531886153507045,282.388294304685,2702,0.246179972623335,0.240859922060018,20,0.317279944847096,0.00176021355983134
"LVEF",-0.0589024342672426,0.0014473812589966,-40.6958663455935,7.41640406412734e-282,-0.061740542124294,-0.0560643264101913,1.52943085196858e-08,2657.28495371077,2702,0.00841176143616054,0.00766572535964462,20,0.00772494264840631,2.07885348494893e-06
"eGFR",-0.00949337500032055,0.00105609075614232,-8.98916588854339,1.18071473278473e-18,-0.0115657297830059,-0.00742102021763525,1.10108779920967e-07,1021.71849317269,2702,0.105408855869222,0.1036594181694,20,0.11564735578266,9.99713466292245e-07
"Haemoglobin",-0.0717620692572036,0.0133432984664466,-5.37813565646143,1.66770192716402e-07,-0.0980358246608477,-0.0454883138535595,4.26021356709831e-05,261.991566211479,2702,0.256894347492273,0.25124317271726,20,0.335547087602565,0.000133311371510144
"ACE_inhibitor_ARBYes",-0.149679213766229,0.0516692713200804,-2.8968710017023,0.00380159432345566,-0.250997864241456,-0.0483605632910019,4.92649644713125e-05,2516.05590204101,2702,0.020154505565627,0.0193759408196952,20,0.0197587858856852,0.0026179853860532
"Beta_blockersYes",-0.261050258960635,0.0588781845467703,-4.43373485392146,9.65610260610741e-06,-0.376504534214682,-0.145595983706589,6.01162487309167e-05,2533.64156904829,2702,0.0189825114522413,0.0182084237070331,20,0.0185461193054682,0.00340351855435608
"Lipid_loweringYes",-0.507119754399833,0.056453013093438,-8.98304141110193,5.07891835543753e-19,-0.617819504288348,-0.396420004511318,6.4421941118982e-05,2486.86717854378,2702,0.022011262917523,0.0212250563663719,20,0.0216853286901435,0.00311929964915295
"Revascularisation_acuteYes",0.102290893844859,0.0444408360905905,2.30173198443756,0.0217447324520024,0.0149852113144213,0.189596576375297,0.000315254369981188,519.903269646888,2702,0.170788360083702,0.167604614892475,20,0.201352167360737,0.00164397082395049
