"Variable","BMI_cat","Median","IQR","p.value","p_adj"
"Survival_time","Underweight",29.1064388961892,48.0289093298291,2.38500690121854e-37,4.93449703700388e-37
"Survival_time","Normal",45.26938239159,58.5413929040736,0,0
"Survival_time","Overweight",50.8212877792378,61.1193110221879,0,0
"Survival_time","Obese I",49.0144546649146,60.8738501971091,8.28639891209279e-201,2.7621329706976e-200
"Survival_time","Obese II",48.2260183968462,60.8148739770161,3.40561014242698e-66,8.17346434182474e-66
"Survival_time","Obese III",49.7444152431012,61.5468629842393,8.9585455459552e-26,1.6797272898666e-25
"BMI","Underweight",17.578125,1.40824991920685,0.000648633500967709,0.000734302076567218
"BMI","Normal",23.3066800530675,2.2689739483542,3.23102293657889e-93,9.2314941045111e-93
"BMI","Overweight",27.170631566236,2.3078358749536,1.18114512498308e-08,1.64810947672058e-08
"BMI","Obese I",31.6990701606086,2.2109218464291,3.53725057482896e-05,4.4215632185362e-05
"BMI","Obese II",36.7072041878132,2.1779084386275,0.344679762018774,0.350521791883499
"BMI","Obese III",42.4366343891054,3.9223915289256,0.00390835417960255,0.00426365910502096
"Age","Underweight",77,16,3.12247458498975e-34,6.2449491699795e-34
"Age","Normal",72.0176750379287,17,0,0
"Age","Overweight",69,17,0,0
"Age","Obese I",66,16,0,0
"Age","Obese II",65,16.2381930184805,2.92158945007409e-109,8.76476835022227e-109
"Age","Obese III",62,17,1.12581749318266e-39,2.41246605681999e-39
"LVEF","Underweight",45,25,2.05977687315134e-16,3.34017871321838e-16
"LVEF","Normal",55,15,0,0
"LVEF","Overweight",55,15,0,0
"LVEF","Obese I",60,15,1.27309067442501e-236,5.4561028903929e-236
"LVEF","Obese II",60,15,1.08684778583468e-57,2.5081102750031e-57
"LVEF","Obese III",60,16.25,7.17266549683631e-13,1.10348699951328e-12
"eGFR","Underweight",74.2770037443227,34.0362149274847,3.33348892140715e-24,6.060888948013e-24
"eGFR","Normal",76.4802053591803,30.7584441136263,0,0
"eGFR","Overweight",78.4214751577046,29.6209372129184,0,0
"eGFR","Obese I",79.446810966021,31.2562150786529,0,0
"eGFR","Obese II",79.3507396196909,33.3163615932889,5.44435524843789e-87,1.48482415866488e-86
"eGFR","Obese III",81.2283570880973,35.5173083804712,4.64086393855718e-32,8.98231730043325e-32
"Haemoglobin","Underweight",12.8,2.4,2.13460106230294e-07,2.84613474973725e-07
"Haemoglobin","Normal",13.6,2.1,0,0
"Haemoglobin","Overweight",14.1,2,0,0
"Haemoglobin","Obese I",14.3,2.2,9.88495329532287e-181,3.12156419852301e-180
"Haemoglobin","Obese II",14.2,2.2,2.12262540625675e-47,4.71694534723722e-47
"Haemoglobin","Obese III",14,2.3,6.95243973003711e-16,1.09775364158481e-15
"Cholesterol","Underweight",181.749,61.872,3.06914274898047e-05,3.91805457316655e-05
"Cholesterol","Normal",185.616,65.739,2.25163989055149e-202,7.94696431959349e-202
"Cholesterol","Overweight",185.616,65.739,8.18486845242478e-214,3.27394738096991e-213
"Cholesterol","Obese I",185,65.739,3.07836362936364e-83,8.03051381573124e-83
"Cholesterol","Obese II",177.882,69.054,2.80191180855894e-17,4.6698530142649e-17
"Cholesterol","Obese III",174.015,66.685,0.000119216880746965,0.000143060256896357
"LDL","Underweight",100.9287,54.138,1.50722390491379e-05,1.96594422380059e-05
"LDL","Normal",110.9829,58.3917,5.00530815745197e-212,1.87699055904449e-211
"LDL","Overweight",112.9164,59.9385,2.64575588895056e-237,1.22111810259256e-236
"LDL","Obese I",109.8228,60.7119,1.69349529375111e-81,4.23373823437777e-81
"LDL","Obese II",104.7957,59.9385,1.69129829767029e-12,2.53694744650543e-12
"LDL","Obese III",101.3154,56.54535,5.95867397251109e-05,7.29633547654419e-05
"HDL","Underweight",58.005,23.202,0.0751036829797488,0.0790565083997355
"HDL","Normal",47.5641,19.335,1.1061854802244e-21,1.89631796609897e-21
"HDL","Overweight",42.537,18.1749,1.21156267261369e-07,1.65213091720049e-07
"HDL","Obese I",40.9902,15.468,0.000518148878383566,0.000600383716715058
"HDL","Obese II",38.67,13.5345,0.103879839088059,0.107461902504889
"HDL","Obese III",38.4,14.904,0.0356354990651702,0.0381808918555395
"Triglycerides","Underweight",88.57,44.285,0.00329968756801652,0.00366631952001836
"Triglycerides","Normal",106.284,61.999,3.50497734466212e-11,5.00711049237446e-11
"Triglycerides","Overweight",123.998,79.713,6.82042372302887e-23,1.20360418641686e-22
"Triglycerides","Obese I",141.712,88.57,3.49688103908987e-11,5.00711049237446e-11
"Triglycerides","Obese II",150.569,103.568,0.000520332554486383,0.000600383716715058
"Triglycerides","Obese III",159,106.425,0.422751005007178,0.422751005007178
