"Variable","Level","BMI_cat","Count","Percent","p.value_rounded","p_adj_rounded"
"ACE_inhibitor_ARB","No","Underweight",492,"31.5%",1.74e-164,3.24e-164
"ACE_inhibitor_ARB","Yes","Underweight",1068,"68.5%",1.74e-164,3.24e-164
"Baseline_type","MI","Underweight",1499,"96.1%",0,0
"Baseline_type","MI40d","Underweight",61,"3.9%",0,0
"Beta_blockers","No","Underweight",249,"16.0%",1.12e-34,1.45e-34
"Beta_blockers","Yes","Underweight",1311,"84.0%",1.12e-34,1.45e-34
"CVD_risk_region","1","Underweight",15,"1.0%",2.02e-294,5.26e-294
"CVD_risk_region","2","Underweight",1442,"92.4%",2.02e-294,5.26e-294
"CVD_risk_region","3","Underweight",96,"6.2%",2.02e-294,5.26e-294
"CVD_risk_region","4","Underweight",7,"0.4%",2.02e-294,5.26e-294
"Diabetes","No","Underweight",1412,"90.5%",0,0
"Diabetes","Yes","Underweight",148,"9.5%",0,0
"Hypertension","No","Underweight",905,"58.0%",0,0
"Hypertension","Yes","Underweight",655,"42.0%",0,0
"Lipid_lowering","No","Underweight",411,"26.3%",7.46e-241,1.62e-240
"Lipid_lowering","Yes","Underweight",1149,"73.7%",7.46e-241,1.62e-240
"MI_history","No","Underweight",1266,"81.2%",1.41e-24,1.66e-24
"MI_history","Yes","Underweight",294,"18.8%",1.41e-24,1.66e-24
"MI_type","NSTEMI","Underweight",1092,"70.0%",1.63e-21,1.77e-21
"MI_type","STEMI","Underweight",468,"30.0%",1.63e-21,1.77e-21
"Revascularisation_acute","No","Underweight",1112,"71.3%",2.97e-40,4.28e-40
"Revascularisation_acute","Yes","Underweight",448,"28.7%",2.97e-40,4.28e-40
"Sex","Female","Underweight",1090,"69.9%",0,0
"Sex","Male","Underweight",470,"30.1%",0,0
"Smoking","No","Underweight",578,"37.1%",1.5e-65,2.44e-65
"Smoking","Yes","Underweight",982,"62.9%",1.5e-65,2.44e-65
"Stroke_TIA","No","Underweight",1402,"89.9%",2.08e-11,2.08e-11
"Stroke_TIA","Yes","Underweight",158,"10.1%",2.08e-11,2.08e-11
"ACE_inhibitor_ARB","No","Normal",9519,"24.0%",1.74e-164,3.24e-164
"ACE_inhibitor_ARB","Yes","Normal",30173,"76.0%",1.74e-164,3.24e-164
"Baseline_type","MI","Normal",37712,"95.0%",0,0
"Baseline_type","MI40d","Normal",1980,"5.0%",0,0
"Beta_blockers","No","Normal",4968,"12.5%",1.12e-34,1.45e-34
"Beta_blockers","Yes","Normal",34724,"87.5%",1.12e-34,1.45e-34
"CVD_risk_region","1","Normal",384,"1.0%",2.02e-294,5.26e-294
"CVD_risk_region","2","Normal",36456,"91.8%",2.02e-294,5.26e-294
"CVD_risk_region","3","Normal",2631,"6.6%",2.02e-294,5.26e-294
"CVD_risk_region","4","Normal",221,"0.6%",2.02e-294,5.26e-294
"Diabetes","No","Normal",33893,"85.4%",0,0
"Diabetes","Yes","Normal",5799,"14.6%",0,0
"Hypertension","No","Normal",21902,"55.2%",0,0
"Hypertension","Yes","Normal",17790,"44.8%",0,0
"Lipid_lowering","No","Normal",4543,"11.4%",7.46e-241,1.62e-240
"Lipid_lowering","Yes","Normal",35149,"88.6%",7.46e-241,1.62e-240
"MI_history","No","Normal",32150,"81.0%",1.41e-24,1.66e-24
"MI_history","Yes","Normal",7542,"19.0%",1.41e-24,1.66e-24
"MI_type","NSTEMI","Normal",26101,"65.8%",1.63e-21,1.77e-21
"MI_type","STEMI","Normal",13591,"34.2%",1.63e-21,1.77e-21
"Revascularisation_acute","No","Normal",24197,"61.0%",2.97e-40,4.28e-40
"Revascularisation_acute","Yes","Normal",15495,"39.0%",2.97e-40,4.28e-40
"Sex","Female","Normal",14195,"35.8%",0,0
"Sex","Male","Normal",25497,"64.2%",0,0
"Smoking","No","Normal",17012,"42.9%",1.5e-65,2.44e-65
"Smoking","Yes","Normal",22680,"57.1%",1.5e-65,2.44e-65
"Stroke_TIA","No","Normal",36701,"92.5%",2.08e-11,2.08e-11
"Stroke_TIA","Yes","Normal",2991,"7.5%",2.08e-11,2.08e-11
"ACE_inhibitor_ARB","No","Overweight",10105,"19.4%",1.74e-164,3.24e-164
