"**Characteristic**","**N**","**Underweight**  
N = 1,560","**Normal**  
N = 39,692","**Overweight**  
N = 52,099","**Obese I**  
N = 20,909","**Obese II**  
N = 5,401","**Obese III**  
N = 1,820","Total","**p-value**"
"__SCD_status__","121,481",NA,NA,NA,NA,NA,NA,NA,"<0.001"
"No SCD",NA,"1,517 (97%)","38,889 (98%)","50,933 (98%)","20,310 (97%)","5,207 (96%)","1,760 (97%)","118,616 (98%)",NA
"SCD",NA,"43 (2.8%)","803 (2.0%)","1,166 (2.2%)","599 (2.9%)","194 (3.6%)","60 (3.3%)","2,865 (2.4%)",NA
"__Age__","121,481","77 (68, 84)","72 (64, 81)","69 (60, 77)","66 (58, 74)","65 (56, 72)","62 (53, 70)","69 (61, 78)","<0.001"
"__Sex__","121,481",NA,NA,NA,NA,NA,NA,NA,"<0.001"
"Female",NA,"1,090 (70%)","14,195 (36%)","13,274 (25%)","6,332 (30%)","2,032 (38%)","809 (44%)","37,732 (31%)",NA
"Male",NA,"470 (30%)","25,497 (64%)","38,825 (75%)","14,577 (70%)","3,369 (62%)","1,011 (56%)","83,749 (69%)",NA
"__Diabetes__","121,481","148 (9.5%)","5,799 (15%)","11,040 (21%)","6,680 (32%)","2,256 (42%)","855 (47%)","26,778 (22%)","<0.001"
"__Hypertension__","121,481","655 (42%)","17,790 (45%)","26,517 (51%)","12,529 (60%)","3,654 (68%)","1,290 (71%)","62,435 (51%)","<0.001"
"__Smoking__","121,481","982 (63%)","22,680 (57%)","31,106 (60%)","13,212 (63%)","3,526 (65%)","1,187 (65%)","72,693 (60%)","<0.001"
"__MI_history__","121,481","294 (19%)","7,542 (19%)","10,276 (20%)","4,467 (21%)","1,296 (24%)","430 (24%)","24,305 (20%)","<0.001"
"__MI_type__","121,481",NA,NA,NA,NA,NA,NA,NA,"<0.001"
"NSTEMI",NA,"1,092 (70%)","26,101 (66%)","34,228 (66%)","14,178 (68%)","3,780 (70%)","1,318 (72%)","80,697 (66%)",NA
"STEMI",NA,"468 (30%)","13,591 (34%)","17,871 (34%)","6,731 (32%)","1,621 (30%)","502 (28%)","40,784 (34%)",NA
"__Baseline_type__","121,481",NA,NA,NA,NA,NA,NA,NA,"<0.001"
"MI",NA,"1,499 (96%)","37,712 (95%)","48,576 (93%)","18,731 (90%)","4,536 (84%)","1,406 (77%)","112,460 (93%)",NA
"MI40d",NA,"61 (3.9%)","1,980 (5.0%)","3,523 (6.8%)","2,178 (10%)","865 (16%)","414 (23%)","9,021 (7.4%)",NA
"__CVD_risk_region__","121,481",NA,NA,NA,NA,NA,NA,NA,"<0.001"
"1",NA,"15 (1.0%)","384 (1.0%)","529 (1.0%)","231 (1.1%)","69 (1.3%)","18 (1.0%)","1,246 (1.0%)",NA
"2",NA,"1,442 (92%)","36,456 (92%)","46,659 (90%)","18,030 (86%)","4,373 (81%)","1,350 (74%)","108,310 (89%)",NA
"3",NA,"96 (6.2%)","2,631 (6.6%)","4,528 (8.7%)","2,421 (12%)","892 (17%)","436 (24%)","11,004 (9.1%)",NA
"4",NA,"7 (0.4%)","221 (0.6%)","383 (0.7%)","227 (1.1%)","67 (1.2%)","16 (0.9%)","921 (0.8%)",NA
"__LVEF__","121,481","45 (35, 60)","55 (45, 60)","55 (45, 60)","60 (45, 60)","60 (45, 60)","60 (44, 60)","55 (45, 60)","<0.001"
"__eGFR__","121,481","74 (54, 88)","76 (59, 89)","78 (61, 91)","79 (62, 93)","79 (60, 94)","81 (60, 96)","78 (60, 91)","<0.001"
"__Haemoglobin__","121,481","12.80 (11.60, 14.00)","13.60 (12.50, 14.60)","14.10 (13.10, 15.10)","14.30 (13.10, 15.30)","14.20 (13.00, 15.20)","14.00 (12.80, 15.10)","14.00 (12.80, 15.00)","<0.001"
"__Cholesterol__","121,481","182 (151, 213)","186 (151, 217)","186 (155, 220)","185 (151, 217)","178 (147, 216)","174 (146, 213)","186 (151, 220)","<0.001"
"__HDL__","121,481","58 (46, 70)","48 (39, 58)","43 (36, 54)","41 (35, 50)","39 (33, 46)","38 (32, 46)","44 (36, 54)","<0.001"
"__LDL__","121,481","101 (76, 130)","111 (83, 141)","113 (84, 144)","110 (80, 141)","105 (77, 137)","101 (76, 132)","111 (82, 142)","<0.001"
"__Triglycerides__","121,481","89 (71, 115)","106 (80, 142)","124 (89, 168)","142 (106, 195)","151 (109, 213)","159 (115, 221)","116 (89, 168)","<0.001"
"__ACE_inhibitor_ARB__","121,481","1,068 (68%)","30,173 (76%)","41,994 (81%)","17,463 (84%)","4,583 (85%)","1,515 (83%)","96,796 (80%)","<0.001"
"__Beta_blockers__","121,481","1,311 (84%)","34,724 (87%)","46,498 (89%)","18,862 (90%)","4,854 (90%)","1,648 (91%)","107,897 (89%)","<0.001"
"__Lipid_lowering__","121,481","1,149 (74%)","35,149 (89%)","48,155 (92%)","19,453 (93%)","4,991 (92%)","1,692 (93%)","110,589 (91%)","<0.001"
"__Revascularisation_acute__","121,481","448 (29%)","15,495 (39%)","21,777 (42%)","8,660 (41%)","2,309 (43%)","828 (45%)","49,517 (41%)","<0.001"
