"Variable","Level","BMI_cat","Count","Percent","p.value_rounded","p_adj_rounded"
"ACE_inhibitor","No","Underweight",664,"42.5%",8.67e-09,1.44e-08
"ACE_inhibitor","Yes","Underweight",866,"55.5%",8.67e-09,1.44e-08
"ACE_inhibitor",NA,"Underweight",31,"2.0%",8.67e-09,1.44e-08
"ACE_inhibitor_ARB","No","Underweight",492,"31.5%",2.86e-164,1.08e-163
"ACE_inhibitor_ARB","Yes","Underweight",1063,"68.1%",2.86e-164,1.08e-163
"ACE_inhibitor_ARB",NA,"Underweight",6,"0.4%",2.86e-164,1.08e-163
"AF_atrial_flutter","No","Underweight",1226,"78.5%",3.24e-20,7.15e-20
"AF_atrial_flutter","Yes","Underweight",262,"16.8%",3.24e-20,7.15e-20
"AF_atrial_flutter",NA,"Underweight",73,"4.7%",3.24e-20,7.15e-20
"ARB","No","Underweight",1317,"84.4%",3.38e-192,1.49e-191
"ARB","Yes","Underweight",177,"11.3%",3.38e-192,1.49e-191
"ARB",NA,"Underweight",67,"4.3%",3.38e-192,1.49e-191
"AV_block","No","Underweight",47,"3.0%",0.13,0.146
"AV_block","Yes","Underweight",3,"0.2%",0.13,0.146
"AV_block",NA,"Underweight",1511,"96.8%",0.13,0.146
"AV_block_II_or_III","No","Underweight",48,"3.1%",0.839,0.839
"AV_block_II_or_III",NA,"Underweight",1513,"96.9%",0.839,0.839
"Alcohol","No","Underweight",15,"1.0%",0.00104,0.00138
"Alcohol","Yes","Underweight",13,"0.8%",0.00104,0.00138
"Alcohol",NA,"Underweight",1533,"98.2%",0.00104,0.00138
"Aldosterone_antagonist","No","Underweight",734,"47.0%",3.46e-15,6.79e-15
"Aldosterone_antagonist","Yes","Underweight",73,"4.7%",3.46e-15,6.79e-15
"Aldosterone_antagonist",NA,"Underweight",754,"48.3%",3.46e-15,6.79e-15
"Anti_anginal","No","Underweight",1242,"79.6%",1.61e-09,2.75e-09
"Anti_anginal","Yes","Underweight",229,"14.7%",1.61e-09,2.75e-09
"Anti_anginal",NA,"Underweight",90,"5.8%",1.61e-09,2.75e-09
"Anti_arrhythmic_III","No","Underweight",123,"7.9%",0.05,0.0616
"Anti_arrhythmic_III","Yes","Underweight",4,"0.3%",0.05,0.0616
"Anti_arrhythmic_III",NA,"Underweight",1434,"91.9%",0.05,0.0616
"Anti_coagulant","No","Underweight",1351,"86.5%",1.13e-06,1.66e-06
"Anti_coagulant","Yes","Underweight",133,"8.5%",1.13e-06,1.66e-06
"Anti_coagulant",NA,"Underweight",77,"4.9%",1.13e-06,1.66e-06
"Anti_diabetic","No","Underweight",1459,"93.5%",0,0
"Anti_diabetic","Yes","Underweight",80,"5.1%",0,0
"Anti_diabetic",NA,"Underweight",22,"1.4%",0,0
"Anti_diabetic_insulin","No","Underweight",1492,"95.6%",0,0
"Anti_diabetic_insulin","Yes","Underweight",47,"3.0%",0,0
"Anti_diabetic_insulin",NA,"Underweight",22,"1.4%",0,0
"Anti_diabetic_oral","No","Underweight",1501,"96.2%",0,0
"Anti_diabetic_oral","Yes","Underweight",41,"2.6%",0,0
"Anti_diabetic_oral",NA,"Underweight",19,"1.2%",0,0
"Anti_platelet","No","Underweight",125,"8.0%",2.75e-28,6.63e-28
"Anti_platelet","Yes","Underweight",1406,"90.1%",2.75e-28,6.63e-28
"Anti_platelet",NA,"Underweight",30,"1.9%",2.75e-28,6.63e-28
"Baseline_type","MI","Underweight",1464,"93.8%",0,0
"Baseline_type","MI40d","Underweight",46,"2.9%",0,0
"Baseline_type",NA,"Underweight",51,"3.3%",0,0
"Beta_blockers","No","Underweight",249,"16.0%",2.61e-34,6.92e-34
"Beta_blockers","Yes","Underweight",1310,"83.9%",2.61e-34,6.92e-34
"Beta_blockers",NA,"Underweight",2,"0.1%",2.61e-34,6.92e-34
"CABG","No","Underweight",1408,"90.2%",3.76e-34,9.5e-34
"CABG","Yes","Underweight",82,"5.3%",3.76e-34,9.5e-34
"CABG",NA,"Underweight",71,"4.5%",3.76e-34,9.5e-34
"CABG_acute","No","Underweight",919,"58.9%",0.676,0.703
"CABG_acute","Yes","Underweight",2,"0.1%",0.676,0.703
"CABG_acute",NA,"Underweight",640,"41.0%",0.676,0.703
"COPD","No","Underweight",77,"4.9%",1.54e-14,2.92e-14
"COPD","Yes","Underweight",19,"1.2%",1.54e-14,2.92e-14
"COPD",NA,"Underweight",1465,"93.9%",1.54e-14,2.92e-14
"CVD_risk_region","1","Underweight",15,"1.0%",1.05e-292,6.96e-292
"CVD_risk_region","2","Underweight",1442,"92.4%",1.05e-292,6.96e-292
"CVD_risk_region","3","Underweight",97,"6.2%",1.05e-292,6.96e-292
"CVD_risk_region","4","Underweight",7,"0.4%",1.05e-292,6.96e-292
"Calcium_antagonists","No","Underweight",1296,"83.0%",9.66e-149,3.41e-148
"Calcium_antagonists","Yes","Underweight",177,"11.3%",9.66e-149,3.41e-148
"Calcium_antagonists",NA,"Underweight",88,"5.6%",9.66e-149,3.41e-148
"Cancer","No","Underweight",6,"0.4%",0.612,0.662
"Cancer",NA,"Underweight",1555,"99.6%",0.612,0.662
"Diabetes","No","Underweight",1409,"90.3%",0,0
"Diabetes","Yes","Underweight",148,"9.5%",0,0
"Diabetes",NA,"Underweight",4,"0.3%",0,0
"Digitalis_glycosides","No","Underweight",1436,"92.0%",9.89e-19,2.02e-18
"Digitalis_glycosides","Yes","Underweight",67,"4.3%",9.89e-19,2.02e-18
"Digitalis_glycosides",NA,"Underweight",58,"3.7%",9.89e-19,2.02e-18
"Diseased_arteries_num_cat","1","Underweight",22,"1.4%",0.000863,0.00117
"Diseased_arteries_num_cat","2","Underweight",10,"0.6%",0.000863,0.00117
"Diseased_arteries_num_cat","geq3","Underweight",13,"0.8%",0.000863,0.00117
"Diseased_arteries_num_cat",NA,"Underweight",1516,"97.1%",0.000863,0.00117
"Diuretics","No","Underweight",1015,"65.0%",1.46e-247,8.59999999999999e-247
"Diuretics","Yes","Underweight",541,"34.7%",1.46e-247,8.59999999999999e-247
"Diuretics",NA,"Underweight",5,"0.3%",1.46e-247,8.59999999999999e-247
"FH_CAD","No","Underweight",30,"1.9%",1.05e-09,1.86e-09
"FH_CAD","Yes","Underweight",9,"0.6%",1.05e-09,1.86e-09
"FH_CAD",NA,"Underweight",1522,"97.5%",1.05e-09,1.86e-09
"FH_SCD","No","Underweight",25,"1.6%",0.0195,0.0252
"FH_SCD","Yes","Underweight",3,"0.2%",0.0195,0.0252
