"imp2","AIC_K3","AIC_K4","AIC_K5"
1,60066.6969401224,60066.6969401224,60066.6969401224
2,60040.6381407966,60040.6381407966,60040.6381407966
3,60021.5171398928,60021.5171398928,60021.5171398928
4,60009.0200286082,60009.0200286082,60009.0200286082
5,60030.1529491833,60030.1529491833,60030.1529491833
6,60012.4321585109,60012.4321585109,60012.4321585109
7,60024.255975017,60024.255975017,60024.255975017
8,60018.9061068761,60018.9061068761,60018.9061068761
9,60058.2344039002,60058.2344039002,60058.2344039002
10,60033.8233566664,60033.8233566664,60033.8233566664
11,60004.6385647633,60004.6385647633,60004.6385647633
12,60014.2256269536,60014.2256269536,60014.2256269536
13,60019.9559243374,60019.9559243374,60019.9559243374
14,60023.3562826727,60023.3562826727,60023.3562826727
15,60045.3028305391,60045.3028305391,60045.3028305391
16,60045.2347676157,60045.2347676157,60045.2347676157
17,60041.9016516,60041.9016516,60041.9016516
18,60017.1245132331,60017.1245132331,60017.1245132331
19,60031.4973595624,60031.4973595624,60031.4973595624
20,60037.3461818379,60037.3461818379,60037.3461818379
