"spec","type","mean_AIC","sd_AIC"
"FP2_-1_-1","FP2",57377.3070713848,15.3427195109255
"FP2_-2_-2","FP2",57377.7762271002,15.3813407193104
"FP2_-0.5_-0.5","FP2",57379.4456467491,15.3596612567865
"FP2_0_0","FP2",57382.4466179927,15.3915121436475
"FP2_0.5_0.5","FP2",57385.5515174865,15.4309892405483
"FP2_1_1","FP2",57388.0890780987,15.4722410658205
"FP1_2","FP1",57388.0931643232,15.5365725344892
"FP2_3_3","FP2",57388.2503642696,15.5792563132898
"FP1_1","FP1",57389.7817059918,15.6115508022883
"FP2_2_2","FP2",57390.0745903524,15.5421920080134
"FP1_3","FP1",57390.3238911109,15.511899657687
"FP1_0.5","FP1",57391.8080217595,15.6625329011291
"FP1_0","FP1",57394.3793089906,15.7200035716886
"FP1_-0.5","FP1",57397.3006594965,15.7819717280801
"FP1_-1","FP1",57400.3845915924,15.8463623592212
"FP1_-2","FP1",57406.381455926,15.9741160805099
