"term","imp1","imp2"
"ns(BMI, knots = K4, Boundary.knots = BND)",0.256042655416725,0.335847827996197
"Age",0.0304518265775634,0.0334117687124508
"Sex",0.559665533614152,0.523977073043021
"Diabetes",0.139173912709018,0.146430297037514
"Hypertension",0.114870895933476,0.251366373944394
"Smoking",0.927345253769138,0.832149303070413
"MI_history",0.409591048775768,0.388730370775434
"LVEF",0.0342524901326171,0.0281325201158753
"eGFR",0.0212017509341268,0.0485178551673228
"Haemoglobin",0.0253023290011977,0.139043841473972
"ACE_inhibitor_ARB",0.288472501809789,0.423581723028801
"Beta_blockers",0.196454406891225,0.218717543414337
"Lipid_lowering",0.814797597779328,0.764513731974183
"Revascularisation_acute",0.17014418495747,0.0435909072681691
"Cholesterol",0.217294016154585,0.203719675827461
"HDL",0.947487519975752,0.648939683857654
"LDL",0.543356379271965,0.310904679884778
"Triglycerides",0.286162517864907,0.169979917562084
"COPD_cat",0.0785491889679024,0.0653750566433076
"Cancer",0.286295717638972,0.281193306624128
"Stroke_TIA",0.749814770877953,0.9870374672233
"ICD_status",0.0654853274631633,0.0440897162088854
"GLOBAL",0.0405203794361194,0.0606913932323573
