"term","estimate","std.error","statistic","p.value","conf.low","conf.high","b","df","dfcom","fmi","lambda","m","riv","ubar"
"ns(BMI, knots = K4, Boundary.knots = BND)1",0.0145033703002008,0.110376079325257,0.131399578503438,0.895469207444615,-0.201928730009016,0.230935470609417,9.48187847882033e-05,2647.12532884153,2696,0.0089206155555617,0.00817210159842357,20,0.00823943509916759,0.0120833191631877
"ns(BMI, knots = K4, Boundary.knots = BND)2",-0.136662298920817,0.0919436392938358,-1.48637034568611,0.137300710784755,-0.316951255362383,0.043626657520748,7.43654947280011e-05,2637.50717704863,2696,0.00998714582965661,0.00923671174876262,20,0.0093228239866114,0.00837554903713059
"ns(BMI, knots = K4, Boundary.knots = BND)3",0.342993198490177,0.0878206774482946,3.90560866137839,9.63666332097771e-05,0.170788183300007,0.515198213680347,8.29428598626427e-05,2616.80420412325,2696,0.0120468958708539,0.0112921006095635,20,0.0114210684637246,0.00762538138462162
"ns(BMI, knots = K4, Boundary.knots = BND)4",0.163936749353289,0.0885163317709507,1.85205087099068,0.0641316116607247,-0.00963273765612133,0.3375062363627,9.26259046289162e-05,2604.36999474087,2696,0.013170483306355,0.0124129482777904,20,0.0125689662052008,0.00773788379032466
"ns(BMI, knots = K4, Boundary.knots = BND)5",0.438448327079212,0.0823084844993885,5.32689102157469,1.08714405098544e-07,0.277049448059207,0.599847206099217,0.000116722943558541,2529.9876479364,2696,0.018866036798132,0.0180907394836613,20,0.0184240440650781,0.0066521275298496
"Age",0.00391531386576817,0.00209870088974972,1.86558927234033,0.0622232190562722,-0.000200181453120446,0.00803080918465679,1.19793225443076e-07,2352.77676830937,2696,0.0293822505363588,0.0285575183336013,20,0.0293970243967652,4.27876253792103e-06
"SexMale",0.452375456910198,0.0512502811601676,8.82678975938556,1.97147376769673e-18,0.351878550431516,0.552872363388879,4.63493902658405e-05,2523.52414668726,2696,0.0193054579792105,0.0185285238046591,20,0.0188783110401584,0.0025779244592171
"DiabetesYes",0.303160779154059,0.043275559147888,7.00535787690348,3.12955598213009e-12,0.218302516650922,0.388019041657197,2.49646382251711e-05,2585.4802579752,2696,0.0147586537261865,0.0139968142779743,20,0.0141955061410119,0.00184656114942592
"HypertensionYes",0.0977415260826095,0.0432487658192803,2.25998416905197,0.0240338371851483,0.0128741449906256,0.182608907174593,0.000185764757470514,1013.42426535304,2696,0.10604349028934,0.104280999898991,20,0.11642155618808,0.00167540274954691
"SmokingYes",0.1036884553167,0.0456617980750625,2.27079220897629,0.0236372415021737,0.0139485999169915,0.193428310716409,0.000366682754231802,444.449826181848,2696,0.188304781724458,0.184660397236836,20,0.22648280129044,0.00169998291150439
"MI_historyYes",0.509268701007914,0.0511715338781391,9.95218752325651,3.74656809033988e-19,0.40835244778336,0.610184954232469,0.000734518225985517,196.387851964222,2696,0.301610029898336,0.294533708198171,20,0.417502170721585,0.00184728174215675
