"term","estimate","std.error","statistic","p.value","conf.low","conf.high","b","df","dfcom","fmi","lambda","m","riv","ubar"
"ns(BMI, knots = K4, Boundary.knots = BND)1",0.00289117843484625,0.107579663236245,0.0268747674780988,0.978561521156486,-0.208051657892299,0.213834014761992,4.75301243189539e-05,2818.96112991899,2841,0.00501786082131582,0.00431219000293311,20,0.00433086551792355,0.0115234773114889
"ns(BMI, knots = K4, Boundary.knots = BND)2",-0.0881058935246175,0.0906025745291809,-0.972443597573938,0.330922597403038,-0.26576841876502,0.0895566317157849,0.00019524908555918,2537.51438241494,2841,0.0257421057733357,0.0249745246235296,20,0.0256142277860859,0.00800381497147865
"ns(BMI, knots = K4, Boundary.knots = BND)3",0.368984807597525,0.0873131896541624,4.22599161775022,2.45902012893068e-05,0.197776203324804,0.540193411870246,0.000131215862361872,2660.21506378895,2841,0.0188098043180855,0.0180724041665285,20,0.0184050272578279,0.00748581643210376
"ns(BMI, knots = K4, Boundary.knots = BND)4",0.175659510687977,0.0889774692665492,1.97420214505938,0.0484709830298621,0.00118062981489356,0.35013839156106,0.000221671097462854,2448.60153606367,2841,0.0301911962276587,0.0293993867929449,20,0.0302898910148053,0.00768423538474371
"ns(BMI, knots = K4, Boundary.knots = BND)5",0.458449877229893,0.0817787264693167,5.60597966027147,2.29371258311328e-08,0.298090292881238,0.618809461578548,0.000156166478727103,2546.27810794496,2841,0.0252839431041461,0.0245186430343534,20,0.0251349170942863,0.00652378530027985
"Age",0.00145567193696944,0.0021505147882676,0.676894641650939,0.498539442226221,-0.00276143211477165,0.00567277598871053,1.49928800818055e-07,2349.43400844086,2841,0.0348612389650884,0.0340399959456555,20,0.0352395500877699,4.46728861369866e-06
"SexMale",0.471575946641614,0.0517940327295601,9.10483161455921,1.67744539919955e-19,0.370014171403882,0.573137721879346,5.56797395934757e-05,2596.85182061968,2841,0.0225460123307867,0.0217935029074924,20,0.0222790412579231,0.0026241580998176
"DiabetesYes",0.254646606299018,0.0442207012567921,5.75853840083337,9.527605210272e-09,0.167933482007092,0.341359730590943,5.0948780403091e-05,2490.44878787318,2841,0.0281373709274475,0.0273572123034349,20,0.0281266798556363,0.00190197420021921
"HypertensionYes",0.0869219230071893,0.0423739997159301,2.05130324231611,0.0404085379474892,0.00380420806646914,0.17003963794791,0.000124328072723185,1519.62107181793,2841,0.0739222393788859,0.0727042136947962,20,0.0784045552331097,0.0016650113755663
"SmokingYes",0.1097030737697,0.043243607925863,2.53686218684101,0.011363541414364,0.0248258680350079,0.194580279504392,0.000216759359766224,846.965471901804,2841,0.123775824998365,0.121709174399876,20,0.138575026463147,0.00164241229869122
"MI_historyYes",0.476853271910539,0.0488204429731856,9.76749170777594,2.45958582714897e-19,0.380708313152796,0.572998230668282,0.000582659488961418,253.702634133461,2841,0.262476371221604,0.256685118757431,20,0.345324875412613,0.00177164318868858
"LVEF",-0.0433357345816659,0.00159965763933132,-27.0906308425976,1.2780073419989e-143,-0.0464723726853807,-0.0401990964779512,2.25013958837889e-08,2777.73339782511,2841,0.00994563301483755,0.00923303901948696,20,0.0093190824715728,2.53527809739308e-06
