"Variable","complete_case","Level","n","pct"
"Sex",FALSE,"Female",15589,31.629671712048
"Sex",FALSE,"Male",33696,68.3682993142069
"Sex",FALSE,NA,1,0.00202897374507974
"Sex",TRUE,"Female",22143,30.6710991065863
"Sex",TRUE,"Male",50052,69.3289008934137
"Diabetes",FALSE,"No",35902,72.8442153958528
"Diabetes",FALSE,"Yes",13113,26.6059327192306
"Diabetes",FALSE,NA,271,0.549851884916609
"Diabetes",TRUE,"No",58610,81.1829074035598
"Diabetes",TRUE,"Yes",13585,18.8170925964402
"Hypertension",FALSE,"No",19692,39.9545509881102
"Hypertension",FALSE,"Yes",26647,54.0660633851398
"Hypertension",FALSE,NA,2947,5.97938562674999
"Hypertension",TRUE,"No",38044,52.6961700948819
"Hypertension",TRUE,"Yes",34151,47.3038299051181
"Smoking",FALSE,"No",17664,35.8397922330885
"Smoking",FALSE,"Yes",25482,51.7023089721219
"Smoking",FALSE,NA,6140,12.4578987947896
"Smoking",TRUE,"No",28497,39.4722626220652
"Smoking",TRUE,"Yes",43698,60.5277373779348
"COPD_cat",FALSE,"No",9699,19.6790163535284
"COPD_cat",FALSE,"Yes",829,1.6820192346711
"COPD_cat",FALSE,"Missing",38758,78.6389644118005
"COPD_cat",TRUE,"No",2248,3.11378904356257
"COPD_cat",TRUE,"Yes",227,0.314426206801025
"COPD_cat",TRUE,"Missing",69720,96.5717847496364
"Stroke_TIA",FALSE,"No",37779,76.6525991153675
"Stroke_TIA",FALSE,"Yes",3824,7.75879560118492
"Stroke_TIA",FALSE,NA,7683,15.5886052834476
"Stroke_TIA",TRUE,"No",68108,94.3389431401067
"Stroke_TIA",TRUE,"Yes",4087,5.66105685989334
"MI_history",FALSE,"No",28932,58.702268392647
"MI_history",FALSE,"Yes",8873,18.0030840400925
"MI_history",FALSE,NA,11481,23.2946475672605
"MI_history",TRUE,"No",60390,83.6484521088718
"MI_history",TRUE,"Yes",11805,16.3515478911282
