"BMI_cat","time","n_risk","n_event","surv","lower_ci","upper_ci"
"Underweight",0.0985545335085414,1556,1,0.9994,0.9981,1
"Underweight",1.1826544021025,1500,1,0.9987,0.9969,1
"Underweight",1.97109067017083,1459,1,0.998,0.9958,1
"Underweight",2.26675427069645,1443,1,0.9973,0.9947,0.9999
"Underweight",4.33639947437582,1364,1,0.9966,0.9936,0.9996
"Underweight",4.36925098554534,1362,1,0.9959,0.9925,0.9992
"Underweight",4.40210249671485,1360,1,0.9951,0.9915,0.9987
"Underweight",4.86202365308804,1338,1,0.9944,0.9905,0.9983
"Underweight",4.89487516425756,1336,1,0.9936,0.9895,0.9978
"Underweight",5.55190538764783,1320,1,0.9929,0.9885,0.9973
"Underweight",5.61760840998686,1316,1,0.9921,0.9875,0.9968
"Underweight",6.96452036793692,1267,1,0.9913,0.9865,0.9962
"Underweight",7.32588699080158,1260,1,0.9906,0.9854,0.9957
"Underweight",7.45729303547963,1256,1,0.9898,0.9844,0.9951
"Underweight",7.65440210249671,1251,1,0.989,0.9834,0.9946
"Underweight",7.72010512483574,1250,1,0.9882,0.9824,0.994
"Underweight",9.03416557161629,1210,1,0.9874,0.9814,0.9934
"Underweight",9.42838370565046,1203,1,0.9865,0.9804,0.9928
"Underweight",9.69119579500657,1197,1,0.9857,0.9794,0.9921
"Underweight",10.676741130092,1158,1,0.9849,0.9783,0.9915
"Underweight",13.9290407358738,1063,1,0.9839,0.9771,0.9908
"Underweight",14.257555847569,1052,1,0.983,0.976,0.9901
"Underweight",14.4546649145861,1049,1,0.9821,0.9748,0.9894
"Underweight",15.4402102496715,1024,1,0.9811,0.9736,0.9887
"Underweight",17.0827858081472,989,1,0.9801,0.9724,0.9879
"Underweight",19.5795006570302,938,1,0.9791,0.9711,0.9871
"Underweight",19.8094612352168,932,1,0.978,0.9698,0.9863
"Underweight",23.3245729303548,870,1,0.9769,0.9684,0.9855
"Underweight",28.8764783180026,786,1,0.9757,0.9668,0.9846
"Underweight",28.9421813403417,784,1,0.9744,0.9653,0.9837
"Underweight",29.4349540078844,777,1,0.9732,0.9637,0.9827
"Underweight",31.5374507227332,735,1,0.9718,0.962,0.9817
"Underweight",42.1156373193167,559,1,0.9701,0.9597,0.9806
"Underweight",46.3206307490145,514,1,0.9682,0.9573,0.9793
"Underweight",49.2115637319317,486,1,0.9662,0.9546,0.978
"Underweight",50.6241787122208,468,1,0.9642,0.9519,0.9766
"Underweight",59.1984231274639,373,1,0.9616,0.9484,0.975
"Underweight",65.5716162943495,321,1,0.9586,0.9442,0.9732
"Underweight",66.8856767411301,307,1,0.9555,0.9399,0.9713
"Underweight",89.4218134034166,149,2,0.9426,0.9194,0.9664
"Underweight",96.2220762155059,114,1,0.9344,0.9065,0.9631
"Underweight",117.772667542707,40,1,0.911,0.8595,0.9655
"Normal",0.0328515111695138,39692,5,0.9999,0.9998,1
"Normal",0.0657030223390276,39645,7,0.9997,0.9995,0.9999
"Normal",0.0985545335085414,39607,1,0.9997,0.9995,0.9999
"Normal",0.131406044678055,39587,2,0.9996,0.9994,0.9998
"Normal",0.164257555847569,39559,1,0.9996,0.9994,0.9998
"Normal",0.197109067017083,39536,2,0.9995,0.9993,0.9998
"Normal",0.295663600525624,39469,4,0.9994,0.9992,0.9997
"Normal",0.328515111695138,39443,4,0.9993,0.9991,0.9996
"Normal",0.394218134034166,39405,1,0.9993,0.9991,0.9996
"Normal",0.427069645203679,39375,1,0.9993,0.999,0.9996
"Normal",0.492772667542707,39314,1,0.9993,0.999,0.9995
"Normal",0.558475689881735,39266,3,0.9992,0.9989,0.9995
"Normal",0.559912155959174,39238,1,0.9992,0.9989,0.9994
"Normal",0.591327201051248,39237,1,0.9991,0.9989,0.9994
"Normal",0.68988173455979,39148,2,0.9991,0.9988,0.9994
"Normal",0.722733245729304,39122,1,0.9991,0.9988,0.9994
"Normal",0.755584756898817,39084,1,0.999,0.9987,0.9993
"Normal",0.854139290407359,39016,2,0.999,0.9987,0.9993
"Normal",0.886990801576872,38993,3,0.9989,0.9986,0.9992
"Normal",0.919842312746386,38968,1,0.9989,0.9986,0.9992
"Normal",0.9526938239159,38955,1,0.9989,0.9985,0.9992
"Normal",0.985545335085414,38937,2,0.9988,0.9985,0.9991
"Normal",1,38910,1,0.9988,0.9984,0.9991
"Normal",1.05124835742444,38884,2,0.9987,0.9984,0.9991
"Normal",1.11695137976347,38842,2,0.9987,0.9983,0.999
"Normal",1.14980289093298,38815,2,0.9986,0.9983,0.999
"Normal",1.1826544021025,38790,1,0.9986,0.9982,0.999
"Normal",1.21550591327201,38769,3,0.9985,0.9981,0.9989
"Normal",1.24835742444152,38742,1,0.9985,0.9981,0.9989
"Normal",1.28120893561104,38730,1,0.9985,0.9981,0.9989
"Normal",1.31406044678055,38703,1,0.9984,0.9981,0.9988
"Normal",1.34691195795007,38671,1,0.9984,0.998,0.9988
"Normal",1.37976346911958,38652,2,0.9984,0.998,0.9988
"Normal",1.41261498028909,38634,2,0.9983,0.9979,0.9987
"Normal",1.44546649145861,38612,1,0.9983,0.9979,0.9987
"Normal",1.51116951379763,38578,1,0.9983,0.9979,0.9987
"Normal",1.54402102496715,38553,2,0.9982,0.9978,0.9986
"Normal",1.60972404730618,38501,1,0.9982,0.9978,0.9986
"Normal",1.70827858081472,38435,1,0.9982,0.9977,0.9986
"Normal",1.74113009198423,38411,2,0.9981,0.9977,0.9985
"Normal",1.80683311432326,38343,1,0.9981,0.9977,0.9985
"Normal",1.87253613666229,38295,1,0.9981,0.9976,0.9985
"Normal",1.9053876478318,38269,1,0.998,0.9976,0.9985
"Normal",1.93823915900131,38259,1,0.998,0.9976,0.9984
"Normal",1.97109067017083,38248,3,0.9979,0.9975,0.9984
"Normal",1.97361078609616,38238,1,0.9979,0.9974,0.9984
"Normal",2,38237,2,0.9978,0.9974,0.9983
"Normal",2.10249671484888,38163,2,0.9978,0.9973,0.9983
"Normal",2.20105124835742,38084,2,0.9977,0.9973,0.9982
"Normal",2.20374777239753,38058,1,0.9977,0.9972,0.9982
"Normal",2.23390275952694,38057,1,0.9977,0.9972,0.9982
"Normal",2.26675427069645,38039,2,0.9976,0.9972,0.9981
"Normal",2.29960578186597,38018,2,0.9976,0.9971,0.9981
"Normal",2.33245729303548,37994,2,0.9975,0.997,0.998
"Normal",2.36530880420499,37963,1,0.9975,0.997,0.998
"Normal",2.39816031537451,37942,1,0.9975,0.997,0.998
"Normal",2.40100804637013,37924,1,0.9975,0.997,0.998
"Normal",2.43101182654402,37922,1,0.9974,0.9969,0.9979
"Normal",2.46386333771353,37899,2,0.9974,0.9969,0.9979
"Normal",2.49671484888305,37868,1,0.9974,0.9968,0.9979
"Normal",2.49963818335643,37838,2,0.9973,0.9968,0.9978
