Group,Variable,Category,ICD,NonICD_reduced,NonICD_preserved,Missing data n (%)
Demographics,Age,Mean (SD),63.8 (10.7),72.6 (11.7),68.3 (11.9),2 (0%)
Demographics,Sex,Male,6410 (85.0%),17145 (68.4%),72813 (67.7%),1 (0%)
Medical history,PCI,Yes,1571 (20.8%),3576 (14.3%),16048 (14.9%),10140 (7.2%)
Medical history,CABG,Yes,1528 (20.3%),2870 (11.5%),7428 (6.9%),8401 (6%)
Medical history,Smoking,Yes,2113 (28.0%),13740 (54.8%),60681 (56.4%),11230 (8%)
Medical history,Diabetes,Yes,2049 (27.2%),6847 (27.3%),21848 (20.3%),1958 (1.4%)
Clinical characteristics,BMI,Mean (SD),28.2 (5.4),26.6 (4.6),27.3 (4.6),18583 (13.3%)
Clinical characteristics,Hypertension,Yes,2402 (31.8%),12528 (50.0%),53561 (49.8%),5586 (4%)
Clinical characteristics,eGFR,Mean (SD),67.9 (22.5),66.8 (23.3),76.2 (21.3),9020 (6.4%)
Electrocardiography,LBBB,Yes,391 (5.2%),3100 (12.4%),3177 (3.0%),11654 (8.3%)
Medication,ACE_inhibitor_ARB,Yes,5029 (66.7%),21527 (85.9%),82760 (76.9%),2259 (1.6%)
Medication,Beta_blockers,Yes,5249 (69.6%),22381 (89.3%),95197 (88.5%),1581 (1.1%)
Medication,Diuretics,Yes,4276 (56.7%),13086 (52.2%),23988 (22.3%),1828 (1.3%)
Medication,Anti_platelet,Yes,4266 (56.6%),22642 (90.4%),99610 (92.6%),6981 (5%)
Medication,Lipid_lowering,Yes,3163 (41.9%),20669 (82.5%),98954 (92.0%),3440 (2.5%)
Echocardiography,LVEF,Mean (SD),26.5 (5.9),29.9 (6.3),55.2 (7.1),94 (0.1%)
