Group,Variable,Category,ICD,NonICD_reduced,NonICD_preserved,Missing data n (%)
Demographics,Age,Mean (SD),63.8 (10.7),72.6 (11.7),68.3 (11.9),0 (0%)
Demographics,Sex,Male,6411 (85.0%),17145 (68.4%),72813 (67.7%),0 (0%)
Medical history,PCI,Yes,-,-,-,0 (0%)
Medical history,CABG,Yes,-,-,-,0 (0%)
Medical history,Smoking,Yes,-,-,-,0 (0%)
Medical history,Diabetes,Yes,-,-,-,0 (0%)
Clinical characteristics,BMI,Mean (SD),28.1 (5.3),26.6 (4.6),27.3 (4.6),0 (0%)
Clinical characteristics,Hypertension,Yes,-,-,-,0 (0%)
Clinical characteristics,eGFR,Median (IQR),69.6 (51.6--85.8),67.8 (49.7--84.9),79.6 (62.7--91.8),0 (0%)
Electrocardiography,LBBB,Yes,-,-,-,0 (0%)
Medication,ACE_inhibitor_ARB,Yes,-,-,-,0 (0%)
Medication,Beta_blockers,Yes,-,-,-,0 (0%)
Medication,Diuretics,Yes,-,-,-,0 (0%)
Medication,Anti_platelet,Yes,-,-,-,0 (0%)
Medication,Lipid_lowering,Yes,-,-,-,0 (0%)
Echocardiography,LVEF,Mean (SD),26.5 (5.9),29.9 (6.3),55.2 (7.1),0 (0%)
