Variable,Category,Missing_Phase1,Missing_Phase2,Missing_Imputed,ICD_Phase1_val,ICD_Phase2_val,ICD_Imputed_val,ICD_p2_vs_p1_pct,ICD_imp_vs_p1_pct,ICD_absdiff_p2_p1,ICD_absdiff_imp_p1,NR_Phase1_val,NR_Phase2_val,NR_Imputed_val,NR_p2_vs_p1_pct,NR_imp_vs_p1_pct,NR_absdiff_p2_p1,NR_absdiff_imp_p1,NP_Phase1_val,NP_Phase2_val,NP_Imputed_val,NP_p2_vs_p1_pct,NP_imp_vs_p1_pct,NP_absdiff_p2_p1,NP_absdiff_imp_p1,flags
Age,Mean (SD),2 (0%),0 (0%),0 (0%),63.8,61.9,63.8,-2.97805642633229,0,-1.9,0,72.6,65.5,72.6,-9.77961432506886,0,-7.09999999999999,0,68.3,64.1,68.3,-6.1493411420205,0,-4.2,0,ICD absdiff P2-P1 -1.9; NR absdiff P2-P1 -7.1; NP absdiff P2-P1 -4.2
Sex,Male,1 (0%),0 (0%),0 (0%),6410,366,6411,-94.2901716068643,0.015600624024961,-6044,1,17145,538,17145,-96.862058909303,0,-16607,0,72813,857,72813,-98.823012374164,0,-71956,0,ICD P2_vs_P1 pct -94.3%; ICD absdiff P2-P1 -6044; NR P2_vs_P1 pct -96.9%; NR absdiff P2-P1 -16607; NP P2_vs_P1 pct -98.8%; NP absdiff P2-P1 -71956
PCI,Yes,10140 (7.2%),790 (0.6%),0 (0%),1571,102,,-93.5073201782304,,-1469,,3576,155,,-95.665548098434,,-3421,,16048,483,,-96.9902791625125,,-15565,,ICD P2_vs_P1 pct -93.5%; ICD absdiff P2-P1 -1469; NR P2_vs_P1 pct -95.7%; NR absdiff P2-P1 -3421; NP P2_vs_P1 pct -97%; NP absdiff P2-P1 -15565
CABG,Yes,8401 (6%),867 (0.6%),0 (0%),1528,15,,-99.0183246073298,,-1513,,2870,101,,-96.4808362369338,,-2769,,7428,228,,-96.9305331179321,,-7200,,ICD P2_vs_P1 pct -99%; ICD absdiff P2-P1 -1513; NR P2_vs_P1 pct -96.5%; NR absdiff P2-P1 -2769; NP P2_vs_P1 pct -96.9%; NP absdiff P2-P1 -7200
Smoking,Yes,11230 (8%),713 (0.5%),0 (0%),2113,204,,-90.3454803596782,,-1909,,13740,271,,-98.0276564774381,,-13469,,60681,375,,-99.3820141395165,,-60306,,ICD P2_vs_P1 pct -90.3%; ICD absdiff P2-P1 -1909; NR P2_vs_P1 pct -98%; NR absdiff P2-P1 -13469; NP P2_vs_P1 pct -99.4%; NP absdiff P2-P1 -60306
Diabetes,Yes,1958 (1.4%),0 (0%),0 (0%),2049,143,,-93.0209858467545,,-1906,,6847,208,,-96.9621732145465,,-6639,,21848,276,,-98.7367264738191,,-21572,,ICD P2_vs_P1 pct -93%; ICD absdiff P2-P1 -1906; NR P2_vs_P1 pct -97%; NR absdiff P2-P1 -6639; NP P2_vs_P1 pct -98.7%; NP absdiff P2-P1 -21572
BMI,Mean (SD),18583 (13.3%),655 (0.5%),0 (0%),28.2,27.4,28.1,-2.83687943262412,-0.354609929078007,-0.800000000000001,-0.0999999999999979,26.6,27.4,26.6,3.00751879699247,0,0.799999999999997,0,27.3,28.6,27.3,4.76190476190476,0,1.3,0,NP absdiff P2-P1 1.3
Hypertension,Yes,5586 (4%),0 (0%),0 (0%),2402,266,,-88.9258950874272,,-2136,,12528,360,,-97.1264367816092,,-12168,,53561,570,,-98.9357928343384,,-52991,,ICD P2_vs_P1 pct -88.9%; ICD absdiff P2-P1 -2136; NR P2_vs_P1 pct -97.1%; NR absdiff P2-P1 -12168; NP P2_vs_P1 pct -98.9%; NP absdiff P2-P1 -52991
eGFR,Mean (SD),9020 (6.4%),975 (0.7%),0 (0%),67.9,75.4,69.6,11.0456553755523,2.50368188512517,7.5,1.69999999999999,66.8,69.5,67.8,4.04191616766467,1.49700598802395,2.7,1,76.2,74,79.6,-2.88713910761155,4.46194225721784,-2.2,3.39999999999999,ICD P2_vs_P1 pct 11%; ICD absdiff P2-P1 7.5; ICD absdiff Imp-P1 1.7; NR absdiff P2-P1 2.7; NP absdiff P2-P1 -2.2; NP absdiff Imp-P1 3.4
LBBB,Yes,11654 (8.3%),723 (0.5%),0 (0%),391,35,,-91.0485933503836,,-356,,3100,73,,-97.6451612903226,,-3027,,3177,53,,-98.3317595215612,,-3124,,ICD P2_vs_P1 pct -91%; ICD absdiff P2-P1 -356; NR P2_vs_P1 pct -97.6%; NR absdiff P2-P1 -3027; NP P2_vs_P1 pct -98.3%; NP absdiff P2-P1 -3124
ACE_inhibitor_ARB,Yes,2259 (1.6%),645 (0.5%),0 (0%),5029,355,,-92.9409425333068,,-4674,,21527,385,,-98.2115482881962,,-21142,,82760,509,,-99.3849685838569,,-82251,,ICD P2_vs_P1 pct -92.9%; ICD absdiff P2-P1 -4674; NR P2_vs_P1 pct -98.2%; NR absdiff P2-P1 -21142; NP P2_vs_P1 pct -99.4%; NP absdiff P2-P1 -82251
Beta_blockers,Yes,1581 (1.1%),645 (0.5%),0 (0%),5249,393,,-92.5128595923033,,-4856,,22381,409,,-98.1725570796658,,-21972,,95197,573,,-99.3980902759541,,-94624,,ICD P2_vs_P1 pct -92.5%; ICD absdiff P2-P1 -4856; NR P2_vs_P1 pct -98.2%; NR absdiff P2-P1 -21972; NP P2_vs_P1 pct -99.4%; NP absdiff P2-P1 -94624
Diuretics,Yes,1828 (1.3%),733 (0.5%),0 (0%),4276,236,,-94.4808231992516,,-4040,,13086,328,,-97.4935045086352,,-12758,,23988,275,,-98.8535934633984,,-23713,,ICD P2_vs_P1 pct -94.5%; ICD absdiff P2-P1 -4040; NR P2_vs_P1 pct -97.5%; NR absdiff P2-P1 -12758; NP P2_vs_P1 pct -98.9%; NP absdiff P2-P1 -23713
Anti_platelet,Yes,6981 (5%),1307 (0.9%),0 (0%),4266,278,,-93.483356774496,,-3988,,22642,243,,-98.9267732532462,,-22399,,99610,220,,-99.7791386406987,,-99390,,ICD P2_vs_P1 pct -93.5%; ICD absdiff P2-P1 -3988; NR P2_vs_P1 pct -98.9%; NR absdiff P2-P1 -22399; NP P2_vs_P1 pct -99.8%; NP absdiff P2-P1 -99390
Lipid_lowering,Yes,3440 (2.5%),733 (0.5%),0 (0%),3163,283,,-91.0527979766045,,-2880,,20669,369,,-98.2147176931637,,-20300,,98954,578,,-99.4158902116135,,-98376,,ICD P2_vs_P1 pct -91.1%; ICD absdiff P2-P1 -2880; NR P2_vs_P1 pct -98.2%; NR absdiff P2-P1 -20300; NP P2_vs_P1 pct -99.4%; NP absdiff P2-P1 -98376
LVEF,Mean (SD),94 (0.1%),0 (0%),0 (0%),26.5,26.6,26.5,0.377358490566043,0,0.100000000000001,0,29.9,27.3,29.9,-8.69565217391304,0,-2.6,0,55.2,48.9,55.2,-11.4130434782609,0,-6.3,0,NR absdiff P2-P1 -2.6; NP P2_vs_P1 pct -11.4%; NP absdiff P2-P1 -6.3
