Variable,Category,ICD,NonICD_reduced,NonICD_preserved
"N","N","7543","25058","107603"
"V1","Mean (SD)","3772.0 (2177.6)","12529.5 (7233.8)","53802.0 (31062.5)"
"V1","Median (IQR)","3772.0 (1886.5--5657.5)","12529.5 (6265.2--18793.8)","53802.0 (26901.5--80702.5)"
"V1","Missing","0 (0.0%)","0 (0.0%)","0 (0.0%)"
"DB","Too many categories (>10)","-",-,-
"DB","Missing","0 (0.0%)","0 (0.0%)","0 (0.0%)"
"ID","Too many categories (>10)","-","-","-"
"ID","Missing","0 (0.0%)","0 (0.0%)","0 (0.0%)"
"Status","0","5056 (67.0%)","14181 (56.6%)","86114 (80.0%)"
"Status","1","1326 (17.6%)","1193 (4.8%)","1567 (1.5%)"
"Status","2","901 (11.9%)","9684 (38.6%)","19922 (18.5%)"
"Status","Missing","260 (3.4%)","0 (0.0%)","0 (0.0%)"
"Survival_time","Mean (SD)","30.0 (24.3)","46.5 (37.6)","57.6 (38.5)"
"Survival_time","Median (IQR)","24.6 (12.0--42.3)","37.8 (14.5--71.2)","53.9 (24.2--87.3)"
"Survival_time","Missing","287 (3.8%)","0 (0.0%)","0 (0.0%)"
"Age","Mean (SD)","63.8 (10.7)","72.6 (11.7)","68.3 (11.9)"
"Age","Median (IQR)","65.0 (57.0--72.0)","74.0 (65.0--82.0)","69.0 (60.0--77.0)"
"Age","Missing","2 (0.0%)","0 (0.0%)","0 (0.0%)"
"Sex","Female","1132 (15.0%)","7913 (31.6%)","34790 (32.3%)"
"Sex","Male","6410 (85.0%)","17145 (68.4%)","72813 (67.7%)"
"Sex","Missing","1 (0.0%)","0 (0.0%)","0 (0.0%)"
"BMI","Mean (SD)","28.2 (5.4)","26.6 (4.6)","27.3 (4.6)"
"BMI","Median (IQR)","27.4 (24.5--31.0)","26.0 (23.5--29.1)","26.8 (24.3--29.7)"
"BMI","Missing","3398 (45.0%)","4335 (17.3%)","10850 (10.1%)"
"NYHA","I","1100 (14.6%)","497 (2.0%)","4915 (4.6%)"
"NYHA","II","3867 (51.3%)","890 (3.6%)","1062 (1.0%)"
"NYHA","III","1789 (23.7%)","459 (1.8%)","229 (0.2%)"
"NYHA","IV","126 (1.7%)","41 (0.2%)","33 (0.0%)"
"NYHA","Missing","661 (8.8%)","23171 (92.5%)","101364 (94.2%)"
"LVEF","Mean (SD)","26.5 (5.9)","25.8 (7.8)","45.6 (12.4)"
"LVEF","Mean (SD)","26.5 (5.9)","25.8 (7.8)","55.2 (7.1)"
"LVEF","Mean (SD)","26.5 (5.9)","29.9 (6.3)","45.6 (12.4)"
"LVEF","Mean (SD)","26.5 (5.9)","29.9 (6.3)","55.2 (7.1)"
"LVEF","Mean (SD)","25.9 (7.8)","25.8 (7.8)","45.6 (12.4)"
"LVEF","Mean (SD)","25.9 (7.8)","25.8 (7.8)","55.2 (7.1)"
"LVEF","Mean (SD)","25.9 (7.8)","29.9 (6.3)","45.6 (12.4)"
"LVEF","Mean (SD)","25.9 (7.8)","29.9 (6.3)","55.2 (7.1)"
"LVEF","Median (IQR)","27.0 (23.0--30.0)","25.8 (20.3--31.0)","44.0 (37.6--52.0)"
"LVEF","Median (IQR)","27.0 (23.0--30.0)","25.8 (20.3--31.0)","60.0 (45.0--60.0)"
"LVEF","Median (IQR)","27.0 (23.0--30.0)","35.0 (25.0--35.0)","44.0 (37.6--52.0)"
"LVEF","Median (IQR)","27.0 (23.0--30.0)","35.0 (25.0--35.0)","60.0 (45.0--60.0)"
"LVEF","Median (IQR)","25.7 (20.0--31.7)","25.8 (20.3--31.0)","44.0 (37.6--52.0)"
"LVEF","Median (IQR)","25.7 (20.0--31.7)","25.8 (20.3--31.0)","60.0 (45.0--60.0)"
"LVEF","Median (IQR)","25.7 (20.0--31.7)","35.0 (25.0--35.0)","44.0 (37.6--52.0)"
"LVEF","Median (IQR)","25.7 (20.0--31.7)","35.0 (25.0--35.0)","60.0 (45.0--60.0)"
"LVEF","Missing","94 (1.2%)","24415 (97.4%)","106507 (99.0%)"
"LVEF","Missing","94 (1.2%)","24415 (97.4%)","0 (0.0%)"
