"term","estimate","std.error","statistic","p.value","conf.low","conf.high"
"Age",0.981652885987654,0.00127981366389976,-14.4689107708115,1.90464444201376e-47,0.979193604698906,0.984118343853157
"Survival_time",0.000707462867198929,0.114167360802414,-63.5367706090944,0,0.000565619295009812,0.000884877359879752
"SexMale",1.47804523119042,0.040110184854906,9.74117737032747,2.01209440196735e-22,1.36629938644549,1.59893045925179
"LVEF",0.969396428820429,0.00110227360048483,-28.1977536893788,6.23044206178311e-175,0.967304389376308,0.971492992826915
"GroupNonICD_preserved",0.243490469889975,0.0336138446919219,-42.0266556295999,0,0.227965859509676,0.260072315454429
"GroupNonICD_reduced",0.332061480092571,0.0347144565848856,-31.7572347276151,2.52294219388514e-221,0.310219790579378,0.355440980587776
"Age:Survival_time",1.00028212581443,3.37406765489406e-05,8.36041399526698,6.24985463570155e-17,1.00021597883365,1.00034827716969
"Survival_time:SexMale",1.00116747822058,0.000957428747700026,1.21867789185282,0.222966472279211,0.999290523182372,1.00304795872024
"Survival_time:LVEF",0.999874211712812,2.77074393866346e-05,-4.54015968213064,5.62116402689481e-06,0.999819914434853,0.999928511939497
"Survival_time:GroupNonICD_preserved",1.01369445734593,0.000808402329873126,16.8252058940212,1.59506245884853e-63,1.01208959159792,1.01530186792208
"Survival_time:GroupNonICD_reduced",1.00890148688122,0.000854028563074782,10.3768217820655,3.1612439721587e-25,1.0072141343608,1.01059166616749
