"","BMI","LVEF","eGFR","Haemoglobin","CVD_risk_region","Cholesterol","HDL","LDL","Triglycerides","IsSWHR","Age"
"BMI",1,0.0573655296488411,0.0493776480772225,0.155199438266121,NA,-0.00238185220924552,-0.231366042779221,0.00162656437148112,0.23746494243963,NA,-0.217314910511093
"LVEF",0.0573655296488411,1,0.157642373752906,0.0887075196628925,NA,0.131405060372608,0.0330540753029,0.108149118302026,0.0847149865217303,NA,-0.193401734737337
"eGFR",0.0493776480772225,0.157642373752906,1,0.277621782609341,NA,0.145447413540737,-0.00785360616192784,0.152945843710646,0.0480396351024321,NA,-0.567280984313725
"Haemoglobin",0.155199438266121,0.0887075196628925,0.277621782609341,1,NA,0.178643470313125,-0.0758831697786658,0.18643477249197,0.127004035054968,NA,-0.30688726607306
"CVD_risk_region",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cholesterol",-0.00238185220924552,0.131405060372608,0.145447413540737,0.178643470313125,NA,1,0.261397913651348,0.93529715690438,0.286783595609084,NA,-0.161079125276226
"HDL",-0.231366042779221,0.0330540753029,-0.00785360616192784,-0.0758831697786658,NA,0.261397913651348,1,0.0436592860890134,-0.307493949455904,NA,0.146690033984529
"LDL",0.00162656437148112,0.108149118302026,0.152945843710646,0.18643477249197,NA,0.93529715690438,0.0436592860890134,1,0.125359619752459,NA,-0.171675457010014
"Triglycerides",0.23746494243963,0.0847149865217303,0.0480396351024321,0.127004035054968,NA,0.286783595609084,-0.307493949455904,0.125359619752459,1,NA,-0.191997890480698
"IsSWHR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Age",-0.217314910511093,-0.193401734737337,-0.567280984313725,-0.30688726607306,NA,-0.161079125276226,0.146690033984529,-0.171675457010014,-0.191997890480698,NA,1
