"term","estimate","std.error","statistic","p.value","conf.low","conf.high"
"SexMale",1.5339134614546,0.042367026562502,10.0980012621018,5.63795457658238e-24,1.41168558604778,1.66672418453949
"BMI",1.01438783264309,0.0033377225725415,4.27995727153313,1.86929197917616e-05,1.00777355234706,1.02104552418337
"LVEF",0.967064395952238,0.00234160643710739,-14.3022293056379,2.11910878132335e-46,0.962636257611877,0.97151290378212
"eGFR",0.995473179949085,0.000795108324319888,-5.70626289366964,1.15483587586375e-08,0.993923058947446,0.997025718517253
"LBBBYes",1.30868449043631,0.0506336032948009,5.31312032684118,1.07763828594804e-07,1.18504694284957,1.44522131029702
"Stroke_TIAYes",1.13630420025062,0.0522488596061475,2.44562402559136,0.0144601704350493,1.02569987380811,1.25883532647169
"Anti_plateletYes",0.889511260968567,0.0488030228008138,-2.39909549349603,0.0164356278441425,0.808370101358282,0.978797065923651
"Beta_blockersYes",0.87476227803185,0.0468371228392219,-2.85677479048942,0.00427969376243023,0.798035508471764,0.958865908777474
"DiureticsYes",1.2764463738892,0.0376799764839698,6.47770963046887,9.31253433261795e-11,1.18557578334708,1.3742819044558
"PCIYes",0.936115605397608,0.0412152509175511,-1.60174446646375,0.109212127820729,0.863469496444635,1.01487363511644
"CABGYes",1.14545994101191,0.040497708154679,3.35343054566168,0.000798164428643259,1.05805487848614,1.24008546545368
"Haemoglobin",0.974312647756118,0.00954469536035315,-2.72643937549573,0.00640217122655168,0.956255356386374,0.99271092102932
"RBBBYes",1.12539123343541,0.0628587324985904,1.87930512689194,0.0602028420625497,0.994942717774599,1.27294306060764
"AF_atrial_flutterYes",1.09720112378129,0.0402151710644079,2.30665447521527,0.0210740900618125,1.01403986337455,1.18718242695186
"SmokingYes",1.13807103043514,0.0335157330506529,3.85892650664703,0.00011388617659854,1.06571413204232,1.21534061656252
"Aldosterone_antagonistYes",0.930835754914451,0.044805810441885,-1.59962367567671,0.109682092952063,0.852578314135674,1.01627637984852
"Anti_diabetic_insulinYes",1.20394288244409,0.092092821737498,2.01537864112663,0.0438649906456327,1.00511633606538,1.44210019495046
"Anti_diabetic_oralYes",0.824258938748194,0.0929462791799515,-2.07937912188819,0.0375825179311857,0.686985624459755,0.988962176087135
"Calcium_antagonistsYes",1.14333904956522,0.0468205636093188,2.86098589574228,0.00422325839962991,1.04308884411251,1.25322420006603
"Digitalis_glycosidesYes",1.14105096697981,0.0560221388290812,2.35531419067835,0.0185070501346964,1.02239546003598,1.27347720147324
"HFYes",1.15658205800178,0.0479338001486085,3.03479284894038,0.00240700948403568,1.0528709088797,1.27050908673599
"Anti_diabeticYes",1.4079620600525,0.108297799828943,3.15928220081829,0.00158158264767945,1.13869574500862,1.74090152811827
"Lipid_loweringYes",0.804546285888847,0.0457067565763175,-4.75808822942335,1.95435078654004e-06,0.735606185716829,0.879947366819336
"CVD_risk_region2",0.566094606613067,0.0966988984835623,-5.88418352408166,4.00023773336805e-09,0.468358887353744,0.684225520833051
"CVD_risk_region3",1.09855691785798,0.0629460306168043,1.4933018768948,0.135358184512337,0.97105271058803,1.24280308227843
"CVD_risk_region4",1.38605598720455,0.0916509806770152,3.56201638377249,0.000368017411488589,1.15815668143853,1.65880077407088
"GroupNonICD_preserved",0.271600348496571,0.0859041880024128,-15.1729924987763,5.3386257639566e-52,0.229513663620736,0.321404608944571
"GroupNonICD_reduced",0.362056771444059,0.0657108405414776,-15.4609839698771,6.36192390852424e-54,0.318305032865705,0.411822284330016
"Baseline_typeMI40d",1.35069433606926,0.0627001291416291,4.7945480712936,1.63041965877949e-06,1.1945013145701,1.52731116093092
"PCI_acuteYes",0.711923734023012,0.0473731573114908,-7.17251092658749,7.3634536054946e-13,0.6487977976994,0.781191620659747
"MI_historyYes",1.88953587409542,0.0496170614952693,12.8248471488678,1.19021062362674e-37,1.71443499284888,2.08252038390834
