"Variable","Type","UniqueValues","ExampleValues"
"Status","integer",3,"0, 1, 2"
"Survival_time","numeric",8230,"41.1957950065703, 43.2654402102497, 33.0814717477004"
"Age","numeric",8490,"63.0848733744011, 69.0711841204654, 67.4907597535934"
"Sex","character",2,"Male, Female"
"BMI","numeric",8825,"25, 26, 35"
"NYHA","character",4,"II, I, III"
"LVEF","numeric",441,"20, 25, 35"
"eGFR","numeric",24666,"67.8053780388198, 22.2859795679062, 55.0349017771923"
"HR","numeric",711,"60, 58, 73"
"QRS","numeric",1040,"105, 90, 86"
"LBBB","character",2,"No, Yes"
"Stroke_TIA","character",2,"No, Yes"
"Diabetes","character",2,"No, Yes"
"ACE_inhibitor_ARB","character",2,"Yes, No"
"Anti_arrhythmic_III","character",2,"No, Yes"
"Anti_platelet","character",2,"Yes, No"
"Beta_blockers","character",2,"Yes, No"
"Diuretics","character",2,"Yes, No"
"MI_location_anterior","character",2,"No, Yes"
"MI_location_inferior","character",2,"No, Yes"
"PCI","character",2,"No, Yes"
"CABG","character",2,"No, Yes"
"BUN","numeric",300,"8, 6.7, 29.4"
"Haemoglobin","numeric",495,"14.168, 13.685, 9.982"
"NTProBNP","numeric",5094,"51.92, 802, 501.736"
"Potassium","numeric",49,"4.4, 4.1, 3.5"
"Sodium","numeric",46,"140, 139, 135"
"QTc","numeric",7313,"478.0597592, 397.0637228, 545.3056024"
"RBBB","character",2,"No, Yes"
"NSVT","character",2,"Yes, No"
"AF_atrial_flutter","character",2,"Yes, No"
"COPD","character",2,"No, Yes"
"Hypertension","character",2,"No, Yes"
"FH_SCD","character",2,"No, Yes"
"Smoking","character",2,"Yes, No"
"ACE_inhibitor","character",2,"No, Yes"
"ARB","character",2,"No, Yes"
"Aldosterone_antagonist","character",2,"Yes, No"
"Anti_anginal","character",2,"No, Yes"
"Anti_diabetic_insulin","character",2,"No, Yes"
"Anti_diabetic_oral","character",2,"No, Yes"
"Calcium_antagonists","character",2,"No, Yes"
"Digitalis_glycosides","character",2,"No, Yes"
"Diseased_arteries_num_cat","character",4,"1, geq3, 0"
"MR","character",3,"Moderate, None or mild, Severe"
"FH_CAD","character",2,"No, Yes"
"MRI_LVEF","numeric",1258,"20.06, 18.09, 10.28"
"Infarct_size","numeric",1122,"24.1, 11.9, 18"
"Greyzone_size","numeric",1290,"53.95, 28.2, 19.74"
"Total_scar","numeric",1285,"78.05, 40.1, 37.74"
"LV_mass","numeric",1434,"158.67, 144.4784, 94.8864"
"LVEDV","numeric",1574,"321.318, 176.8096, 226.3632"
"LVESV","numeric",1566,"256.86, 144.8304, 203.0952"
"Anti_coagulant","character",2,"Yes, No"
"Cancer","character",2,"No, Yes"
"SBP","integer",138,"130, 140, 175"
"DBP","integer",87,"90, 70, 80"
"LVDD","numeric",148,"69, 63, 64.2"
"CRP","numeric",1732,"3.8, 90.3, 0.6"
"TSH","numeric",1147,"1.49, 3.25, 1.84"
"PR","numeric",1315,"140, 250, 180"
"AV_block","character",2,"No, Yes"
"HF","character",2,"Yes, No"
"Anti_diabetic","character",2,"No, Yes"
"AV_block_II_or_III","character",2,"No, Yes"
"Troponin_T","numeric",2844,"90, 71, 97"
"Lipid_lowering","character",2,"No, Yes"
"CVD_risk_region","integer",4,"1, 3, 2"
"Group","character",3,"ICD, NonICD_preserved, NonICD_reduced"
"Baseline_type","character",2,"MI40d, MI"
"Cholesterol","numeric",921,"119.877, 185.616, 247.488"
"HbA1c","numeric",206,"7.7, 6.1, 7.8"
"HDL","numeric",996,"36.3498, 54.9114, 40.9902"
"LDL","numeric",2102,"69.606, 123.744, 189.483"
"Triglycerides","numeric",1079,"119.5695, 131.0836, 165.6259"
"Alcohol","character",2,"No, Yes"
"MI_location_lateral","character",2,"No, Yes"
"PCI_acute","character",2,"No, Yes"
"CABG_acute","character",2,"No, Yes"
"Thrombolysis_acute","character",2,"Yes, No"
"Revascularisation_acute","character",2,"Yes, No"
"MI_history","character",2,"No, Yes"
"MI_location_posterior","character",2,"Yes, No"
"MI_type","character",2,"STEMI, NSTEMI"
"IsSWHR","integer",2,"0, 1"
